x y theta
-0.900000 -0.900000 1.570796
-0.900000 -0.700000 1.570796
-0.900000 -0.500000 1.570796
-0.900000 -0.300000 1.570796
-0.900000 -0.100000 1.570796
-0.900000 0.100000 1.570796
-0.900000 0.300000 1.570796
-0.900000 0.500000 1.570796
-0.900000 0.700000 1.570796
-0.900000 0.900000 1.570796
-0.900000 1.100000 1.570796
-0.900000 1.300000 1.570796
-0.900000 1.500000 0.785398
-0.700000 1.700000 0.785398
-0.500000 1.900000 0.785398
-0.300000 2.100000 0.000000
-0.100000 2.100000 0.000000
0.100000 2.100000 0.000000
0.300000 2.100000 0.000000
